# freq	REsusc	std_dev_REsusc	IMsusc	std_dev_IMsusc
3.900000000000000000e+01	1.683613750000000131e+00	nan	8.956200000000001660e-02	nan
3.929999999999999716e+01	1.688816640000000202e+00	nan	8.944000000000000561e-02	nan
3.960000000000000142e+01	1.691431359999999717e+00	nan	8.898839999999999528e-02	nan
3.989999999999999858e+01	1.694034360000000072e+00	nan	8.905680000000000540e-02	nan
4.019999999999999574e+01	1.696639359999999819e+00	nan	8.912520000000000164e-02	nan
4.050000000000000000e+01	1.701855359999999706e+00	nan	8.926199999999999413e-02	nan
4.079999999999999716e+01	1.704466360000000069e+00	nan	8.933040000000000425e-02	nan
4.110000000000000142e+01	1.707072509999999932e+00	nan	8.966019999999998158e-02	nan
4.139999999999999858e+01	1.709694360000000080e+00	nan	8.946720000000001061e-02	nan
4.169999999999999574e+01	1.712311359999999727e+00	nan	8.953559999999999297e-02	nan
4.200000000000000000e+01	1.714930360000000098e+00	nan	8.960400000000000309e-02	nan
4.229999999999999716e+01	1.717544509999999969e+00	nan	8.993459999999998955e-02	nan
4.260000000000000142e+01	1.722771839999999832e+00	nan	9.085959999999999870e-02	nan
4.289999999999999858e+01	1.725391910000000140e+00	nan	9.119160000000001154e-02	nan
4.319999999999999574e+01	1.727999999999999758e+00	nan	9.205000000000000682e-02	nan
4.350000000000000000e+01	1.730616960000000093e+00	nan	9.264640000000000375e-02	nan
4.379999999999999716e+01	1.733228749999999874e+00	nan	9.350699999999999290e-02	nan
4.410000000000000142e+01	1.735849510000000206e+00	nan	9.410520000000001384e-02	nan
4.439999999999999858e+01	1.738464999999999927e+00	nan	9.496799999999998299e-02	nan
4.469999999999999574e+01	1.741082310000000133e+00	nan	9.583200000000000052e-02	nan
4.500000000000000000e+01	1.746344440000000331e+00	nan	9.677040000000000641e-02	nan
4.529999999999999716e+01	1.751607000000000136e+00	nan	9.797599999999999365e-02	nan
4.560000000000000142e+01	1.756884710000000238e+00	nan	9.891960000000001030e-02	nan
4.589999999999999858e+01	1.767433110000000029e+00	nan	1.018780000000000102e-01	nan
4.619999999999999574e+01	1.775304959999999932e+00	nan	1.061068000000000011e-01	nan
4.650000000000000000e+01	1.785804999999999865e+00	nan	1.123080000000000050e-01	nan
4.679999999999999716e+01	1.796282909999999955e+00	nan	1.198853999999999892e-01	nan
4.710000000000000142e+01	1.806682439999999890e+00	nan	1.301960000000000062e-01	nan
4.739999999999999858e+01	1.819637750000000276e+00	nan	1.444499999999999951e-01	nan
4.769999999999999574e+01	1.829496760000000277e+00	nan	1.673544000000000143e-01	nan
4.800000000000000000e+01	1.833260000000000112e+00	nan	2.006880000000000053e-01	nan
4.829999999999999716e+01	1.825572000000000195e+00	nan	2.383040000000000158e-01	nan
4.860000000000000142e+01	1.808564999999999978e+00	nan	2.859879999999999645e-01	nan
4.889999999999999858e+01	1.758848000000000189e+00	nan	3.303360000000000185e-01	nan
4.919999999999999574e+01	1.701296999999999837e+00	nan	3.461040000000000227e-01	nan
4.950000000000000000e+01	1.644620999999999889e+00	nan	3.351399999999999935e-01	nan
4.979999999999999716e+01	1.586535999999999724e+00	nan	2.960099999999999953e-01	nan
5.010000000000000142e+01	1.544584590000000368e+00	nan	2.546374000000000137e-01	nan
5.039999999999999858e+01	1.533025000000000304e+00	nan	2.084880000000000344e-01	nan
5.069999999999999574e+01	1.535347560000000167e+00	nan	1.707616000000000134e-01	nan
5.100000000000000000e+01	1.539604640000000080e+00	nan	1.351295999999999886e-01	nan
5.129999999999999716e+01	1.553168590000000293e+00	nan	1.069926000000000071e-01	nan
